Date;ISO-3166-1;Tests;Confirmed;Recovered;Deaths
2020-02-02;ALB;;0;0;0
2020-02-03;ALB;;0;0;0
2020-02-04;ALB;;0;0;0
2020-02-05;ALB;;0;0;0
2020-02-06;ALB;;0;0;0
2020-02-07;ALB;;0;0;0
2020-02-08;ALB;;0;0;0
2020-02-09;ALB;;0;0;0
2020-02-10;ALB;;0;0;0
2020-02-11;ALB;;0;0;0
2020-02-12;ALB;;0;0;0
2020-02-13;ALB;;0;0;0
2020-02-14;ALB;;0;0;0
2020-02-15;ALB;;0;0;0
2020-02-16;ALB;;0;0;0
2020-02-17;ALB;;0;0;0
2020-02-18;ALB;;0;0;0
2020-02-19;ALB;;0;0;0
2020-02-20;ALB;;0;0;0
2020-02-21;ALB;;0;0;0
2020-02-22;ALB;;0;0;0
2020-02-23;ALB;;0;0;0
2020-02-24;ALB;;0;0;0
2020-02-25;ALB;;0;0;0
2020-02-26;ALB;;0;0;0
2020-02-27;ALB;;0;0;0
2020-02-28;ALB;;0;0;0
2020-02-29;ALB;;0;0;0
2020-03-01;ALB;;0;0;0
2020-03-02;ALB;;0;0;0
2020-03-03;ALB;;0;0;0
2020-03-04;ALB;;0;0;0
2020-03-05;ALB;;0;0;0
2020-03-06;ALB;;0;0;0
2020-03-07;ALB;;0;0;0
2020-03-08;ALB;;0;0;0
2020-03-09;ALB;;2;0;0
2020-03-10;ALB;;10;0;0
2020-03-11;ALB;;12;0;1
2020-03-12;ALB;;23;0;1
2020-03-13;ALB;;33;0;1
2020-03-14;ALB;;38;0;1
2020-03-15;ALB;;42;0;1
2020-03-16;ALB;;51;0;1
2020-03-17;ALB;;55;0;1
2020-03-18;ALB;;59;0;2
2020-03-19;ALB;;64;0;2
2020-01-22;AND;;0;0;0
2020-01-23;AND;;0;0;0
2020-01-24;AND;;0;0;0
2020-01-25;AND;;0;0;0
2020-01-26;AND;;0;0;0
2020-01-27;AND;;0;0;0
2020-01-28;AND;;0;0;0
2020-01-29;AND;;0;0;0
2020-01-30;AND;;0;0;0
2020-01-31;AND;;0;0;0
2020-02-01;AND;;0;0;0
2020-02-02;AND;;0;0;0
2020-02-03;AND;;0;0;0
2020-02-04;AND;;0;0;0
2020-02-05;AND;;0;0;0
2020-02-06;AND;;0;0;0
2020-02-07;AND;;0;0;0
2020-02-08;AND;;0;0;0
2020-02-09;AND;;0;0;0
2020-02-10;AND;;0;0;0
2020-02-11;AND;;0;0;0
2020-02-12;AND;;0;0;0
2020-02-13;AND;;0;0;0
2020-02-14;AND;;0;0;0
2020-02-15;AND;;0;0;0
2020-02-16;AND;;0;0;0
2020-02-17;AND;;0;0;0
2020-02-18;AND;;0;0;0
2020-02-19;AND;;0;0;0
2020-02-20;AND;;0;0;0
2020-02-21;AND;;0;0;0
2020-02-22;AND;;0;0;0
2020-02-23;AND;;0;0;0
2020-02-24;AND;;0;0;0
2020-02-25;AND;;0;0;0
2020-02-26;AND;;0;0;0
2020-02-27;AND;;0;0;0
2020-02-28;AND;;0;0;0
2020-02-29;AND;;0;0;0
2020-03-01;AND;;0;0;0
2020-03-02;AND;;1;0;0
2020-03-03;AND;;1;0;0
2020-03-04;AND;;1;0;0
2020-03-05;AND;;1;0;0
2020-03-06;AND;;1;0;0
2020-03-07;AND;;1;0;0
2020-03-08;AND;;1;0;0
2020-03-09;AND;;1;0;0
2020-03-10;AND;;1;0;0
2020-03-11;AND;;1;0;0
2020-03-12;AND;;1;1;0
2020-03-13;AND;;1;0;0
2020-03-14;AND;;1;1;0
2020-03-15;AND;;1;1;0
2020-03-16;AND;;2;1;0
2020-03-17;AND;;39;1;0
2020-03-18;AND;;39;1;0
2020-03-19;AND;;53;1;0
2020-01-22;ARE;;0;0;0
2020-01-23;ARE;;0;0;0
2020-01-24;ARE;;0;0;0
2020-01-25;ARE;;0;0;0
2020-01-26;ARE;;0;0;0
2020-01-27;ARE;;0;0;0
2020-01-28;ARE;;0;0;0
2020-01-29;ARE;;4;0;0
2020-01-30;ARE;;4;0;0
2020-01-31;ARE;;4;0;0
2020-02-01;ARE;;4;0;0
2020-02-02;ARE;;5;0;0
2020-02-03;ARE;;5;0;0
2020-02-04;ARE;;5;0;0
2020-02-05;ARE;;5;0;0
2020-02-06;ARE;;5;0;0
2020-02-07;ARE;;5;0;0
2020-02-08;ARE;;7;0;0
2020-02-09;ARE;;7;0;0
2020-02-10;ARE;;8;0;0
2020-02-11;ARE;;8;0;0
2020-02-12;ARE;;8;1;0
2020-02-13;ARE;;8;1;0
2020-02-14;ARE;;8;1;0
2020-02-15;ARE;;8;3;0
2020-02-16;ARE;;9;4;0
2020-02-17;ARE;;9;4;0
2020-02-18;ARE;;9;4;0
2020-02-19;ARE;;9;4;0
2020-02-20;ARE;;9;4;0
2020-02-21;ARE;;9;4;0
2020-02-22;ARE;;13;4;0
2020-02-23;ARE;;13;4;0
2020-02-24;ARE;;13;4;0
2020-02-25;ARE;;13;4;0
2020-02-26;ARE;;13;4;0
2020-02-27;ARE;;13;4;0
2020-02-28;ARE;;19;5;0
2020-02-29;ARE;;21;5;0
2020-03-01;ARE;;21;5;0
2020-03-02;ARE;;21;5;0
2020-03-03;ARE;;27;5;0
2020-03-04;ARE;;27;5;0
2020-03-05;ARE;;29;5;0
2020-03-06;ARE;;29;5;0
2020-03-07;ARE;;45;7;0
2020-03-08;ARE;;45;7;0
2020-03-09;ARE;;45;7;0
2020-03-10;ARE;;74;12;0
2020-03-11;ARE;;74;17;0
2020-03-12;ARE;;85;17;0
2020-03-13;ARE;;85;17;0
2020-03-14;ARE;;85;17;0
2020-03-15;ARE;;98;23;0
2020-03-16;ARE;;98;23;0
2020-03-17;ARE;;98;23;0
2020-03-18;ARE;;113;26;0
2020-03-19;ARE;;140;31;0
2020-01-22;ARG;;0;0;0
2020-01-23;ARG;;0;0;0
2020-01-24;ARG;;0;0;0
2020-01-25;ARG;;0;0;0
2020-01-26;ARG;;0;0;0
2020-01-27;ARG;;0;0;0
2020-01-28;ARG;;0;0;0
2020-01-29;ARG;;0;0;0
2020-01-30;ARG;;0;0;0
2020-01-31;ARG;;0;0;0
2020-02-01;ARG;;0;0;0
2020-02-02;ARG;;0;0;0
2020-02-03;ARG;;0;0;0
2020-02-04;ARG;;0;0;0
2020-02-05;ARG;;0;0;0
2020-02-06;ARG;;0;0;0
2020-02-07;ARG;;0;0;0
2020-02-08;ARG;;0;0;0
2020-02-09;ARG;;0;0;0
2020-02-10;ARG;;0;0;0
2020-02-11;ARG;;0;0;0
2020-02-12;ARG;;0;0;0
2020-02-13;ARG;;0;0;0
2020-02-14;ARG;;0;0;0
2020-02-15;ARG;;0;0;0
2020-02-16;ARG;;0;0;0
2020-02-17;ARG;;0;0;0
2020-02-18;ARG;;0;0;0
2020-02-19;ARG;;0;0;0
2020-02-20;ARG;;0;0;0
2020-02-21;ARG;;0;0;0
2020-02-22;ARG;;0;0;0
2020-02-23;ARG;;0;0;0
2020-02-24;ARG;;0;0;0
2020-02-25;ARG;;0;0;0
2020-02-26;ARG;;0;0;0
2020-02-27;ARG;;0;0;0
2020-02-28;ARG;;0;0;0
2020-02-29;ARG;;0;0;0
2020-03-01;ARG;;0;0;0
2020-03-02;ARG;;0;0;0
2020-03-03;ARG;;1;0;0
2020-03-04;ARG;;1;0;0
2020-03-05;ARG;;1;0;0
2020-03-06;ARG;;2;0;0
2020-03-07;ARG;;8;0;0
2020-03-08;ARG;;12;0;1
2020-03-09;ARG;;12;0;1
2020-03-10;ARG;;17;0;1
2020-03-11;ARG;;19;0;1
2020-03-12;ARG;;19;0;1
2020-03-13;ARG;;31;0;2
2020-03-14;ARG;;34;1;2
2020-03-15;ARG;;45;1;2
2020-03-16;ARG;;56;1;2
2020-03-17;ARG;;68;3;2
2020-03-18;ARG;;79;3;2
2020-03-19;ARG;;97;3;3
2020-01-22;ARM;;0;0;0
2020-01-23;ARM;;0;0;0
2020-01-24;ARM;;0;0;0
2020-01-25;ARM;;0;0;0
2020-01-26;ARM;;0;0;0
2020-01-27;ARM;;0;0;0
2020-01-28;ARM;;0;0;0
2020-01-29;ARM;;0;0;0
2020-01-30;ARM;;0;0;0
2020-01-31;ARM;;0;0;0
2020-02-01;ARM;;0;0;0
2020-02-02;ARM;;0;0;0
2020-02-03;ARM;;0;0;0
2020-02-04;ARM;;0;0;0
2020-02-05;ARM;;0;0;0
2020-02-06;ARM;;0;0;0
2020-02-07;ARM;;0;0;0
2020-02-08;ARM;;0;0;0
2020-02-09;ARM;;0;0;0
2020-02-10;ARM;;0;0;0
2020-02-11;ARM;;0;0;0
2020-02-12;ARM;;0;0;0
2020-02-13;ARM;;0;0;0
2020-02-14;ARM;;0;0;0
2020-02-15;ARM;;0;0;0
2020-02-16;ARM;;0;0;0
2020-02-17;ARM;;0;0;0
2020-02-18;ARM;;0;0;0
2020-02-19;ARM;;0;0;0
2020-02-20;ARM;;0;0;0
2020-02-21;ARM;;0;0;0
2020-02-22;ARM;;0;0;0
2020-02-23;ARM;;0;0;0
2020-02-24;ARM;;0;0;0
2020-02-25;ARM;;0;0;0
2020-02-26;ARM;;0;0;0
2020-02-27;ARM;;0;0;0
2020-02-28;ARM;;0;0;0
2020-02-29;ARM;;0;0;0
2020-03-01;ARM;;1;0;0
2020-03-02;ARM;;1;0;0
2020-03-03;ARM;;1;0;0
2020-03-04;ARM;;1;0;0
2020-03-05;ARM;;1;0;0
2020-03-06;ARM;;1;0;0
2020-03-07;ARM;;1;0;0
2020-03-08;ARM;;1;0;0
2020-03-09;ARM;;1;0;0
2020-03-10;ARM;;1;0;0
2020-03-11;ARM;;1;0;0
2020-03-12;ARM;;4;0;0
2020-03-13;ARM;;8;0;0
2020-03-14;ARM;;18;0;0
2020-03-15;ARM;;26;0;0
2020-03-16;ARM;;52;0;0
2020-03-17;ARM;;78;1;0
2020-03-18;ARM;;84;1;0
2020-03-19;ARM;;115;1;0
2020-01-22;ATG;;0;0;0
2020-01-23;ATG;;0;0;0
2020-01-24;ATG;;0;0;0
2020-01-25;ATG;;0;0;0
2020-01-26;ATG;;0;0;0
2020-01-27;ATG;;0;0;0
2020-01-28;ATG;;0;0;0
2020-01-29;ATG;;0;0;0
2020-01-30;ATG;;0;0;0
2020-01-31;ATG;;0;0;0
2020-02-01;ATG;;0;0;0
2020-02-02;ATG;;0;0;0
2020-02-03;ATG;;0;0;0
2020-02-04;ATG;;0;0;0
2020-02-05;ATG;;0;0;0
2020-02-06;ATG;;0;0;0
2020-02-07;ATG;;0;0;0
2020-02-08;ATG;;0;0;0
2020-02-09;ATG;;0;0;0
2020-02-10;ATG;;0;0;0
2020-02-11;ATG;;0;0;0
2020-02-12;ATG;;0;0;0
2020-02-13;ATG;;0;0;0
2020-02-14;ATG;;0;0;0
2020-02-15;ATG;;0;0;0
2020-02-16;ATG;;0;0;0
2020-02-17;ATG;;0;0;0
2020-02-18;ATG;;0;0;0
2020-02-19;ATG;;0;0;0
2020-02-20;ATG;;0;0;0
2020-02-21;ATG;;0;0;0
2020-02-22;ATG;;0;0;0
2020-02-23;ATG;;0;0;0
2020-02-24;ATG;;0;0;0
2020-02-25;ATG;;0;0;0
2020-02-26;ATG;;0;0;0
2020-02-27;ATG;;0;0;0
2020-02-28;ATG;;0;0;0
2020-02-29;ATG;;0;0;0
2020-03-01;ATG;;0;0;0
2020-03-02;ATG;;0;0;0
2020-03-03;ATG;;0;0;0
2020-03-04;ATG;;0;0;0
2020-03-05;ATG;;0;0;0
2020-03-06;ATG;;0;0;0
2020-03-07;ATG;;0;0;0
2020-03-08;ATG;;0;0;0
2020-03-09;ATG;;0;0;0
2020-03-10;ATG;;0;0;0
2020-03-11;ATG;;0;0;0
2020-03-12;ATG;;0;0;0
2020-03-13;ATG;;1;0;0
2020-03-14;ATG;;1;0;0
2020-03-15;ATG;;1;0;0
2020-03-16;ATG;;1;0;0
2020-03-17;ATG;;1;0;0
2020-03-18;ATG;;1;0;0
2020-03-19;ATG;;1;0;0
2020-01-22;AUS;;0;0;0
2020-01-23;AUS;;0;0;0
2020-01-24;AUS;;0;0;0
2020-01-25;AUS;;0;0;0
2020-01-26;AUS;;4;0;0
2020-01-27;AUS;;5;0;0
2020-01-28;AUS;;5;0;0
2020-01-29;AUS;;6;0;0
2020-01-30;AUS;;9;2;0
2020-01-31;AUS;;9;2;0
2020-02-01;AUS;;12;2;0
2020-02-02;AUS;;12;2;0
2020-02-03;AUS;;12;2;0
2020-02-04;AUS;;13;2;0
2020-02-05;AUS;;13;2;0
2020-02-06;AUS;;14;2;0
2020-02-07;AUS;;15;2;0
2020-02-08;AUS;;15;2;0
2020-02-09;AUS;;15;2;0
2020-02-10;AUS;;15;2;0
2020-02-11;AUS;;15;2;0
2020-02-12;AUS;;15;2;0
2020-02-13;AUS;;15;8;0
2020-02-14;AUS;;15;8;0
2020-02-15;AUS;;15;8;0
2020-02-16;AUS;;15;8;0
2020-02-17;AUS;;15;10;0
2020-02-18;AUS;;15;10;0
2020-02-19;AUS;;15;10;0
2020-02-20;AUS;;15;10;0
2020-02-21;AUS;;15;11;0
2020-02-22;AUS;;15;11;0
2020-02-23;AUS;;15;11;0
2020-02-24;AUS;;15;11;0
2020-02-25;AUS;;15;11;0
2020-02-26;AUS;;15;11;0
2020-02-27;AUS;;15;11;0
2020-02-28;AUS;;15;11;0
2020-02-29;AUS;;25;11;0
2020-03-01;AUS;;27;11;1
2020-03-02;AUS;;30;11;1
2020-03-03;AUS;;39;11;1
2020-03-04;AUS;;52;11;2
2020-03-05;AUS;;55;21;2
2020-03-06;AUS;;60;21;2
2020-03-07;AUS;;63;21;2
2020-03-08;AUS;;76;21;3
2020-03-09;AUS;;91;21;3
2020-03-10;AUS;;107;21;3
2020-03-11;AUS;;128;21;3
2020-03-12;AUS;;128;21;3
2020-03-13;AUS;;200;23;3
2020-03-14;AUS;;250;23;3
2020-03-15;AUS;;297;23;3
2020-03-16;AUS;;377;23;3
2020-03-17;AUS;;452;23;5
2020-03-18;AUS;;568;23;6
2020-03-19;AUS;;681;26;6
2020-01-22;AUT;;0;0;0
2020-01-23;AUT;;0;0;0
2020-01-24;AUT;;0;0;0
2020-01-25;AUT;;0;0;0
2020-01-26;AUT;;0;0;0
2020-01-27;AUT;;0;0;0
2020-01-28;AUT;;0;0;0
2020-01-29;AUT;;0;0;0
2020-01-30;AUT;;0;0;0
2020-01-31;AUT;;0;0;0
2020-02-01;AUT;;0;0;0
2020-02-02;AUT;;0;0;0
2020-02-03;AUT;;0;0;0
2020-02-04;AUT;;0;0;0
2020-02-05;AUT;;0;0;0
2020-02-06;AUT;;0;0;0
2020-02-07;AUT;;0;0;0
2020-02-08;AUT;;0;0;0
2020-02-09;AUT;;0;0;0
2020-02-10;AUT;;0;0;0
2020-02-11;AUT;;0;0;0
2020-02-12;AUT;;0;0;0
2020-02-13;AUT;;0;0;0
2020-02-14;AUT;;0;0;0
2020-02-15;AUT;;0;0;0
2020-02-16;AUT;;0;0;0
2020-02-17;AUT;;0;0;0
2020-02-18;AUT;;0;0;0
2020-02-19;AUT;;0;0;0
2020-02-20;AUT;;0;0;0
2020-02-21;AUT;;0;0;0
2020-02-22;AUT;;0;0;0
2020-02-23;AUT;;0;0;0
2020-02-24;AUT;;0;0;0
2020-02-25;AUT;218;2;0;0
2020-02-26;AUT;321;2;0;0
2020-02-27;AUT;447;3;0;0
2020-02-28;AUT;763;3;0;0
2020-02-29;AUT;1649;9;0;0
2020-03-01;AUT;2019;14;0;0
2020-03-02;AUT;2389;18;0;0
2020-03-03;AUT;2759;21;0;0
2020-03-04;AUT;3128;29;0;0
2020-03-05;AUT;3128;41;0;0
2020-03-06;AUT;4000;55;0;0
2020-03-07;AUT;4308;79;0;0
2020-03-08;AUT;4509;104;0;0
2020-03-09;AUT;4734;131;2;0
2020-03-10;AUT;5026;182;4;0
2020-03-11;AUT;5869;246;4;0
2020-03-12;AUT;6582;302;4;1
2020-03-13;AUT;7467;504;6;1
2020-03-14;AUT;8167;655;6;1
2020-03-15;AUT;8490;860;6;1
2020-03-16;AUT;8490;1018;6;3
2020-03-17;AUT;11977;1332;1;3
2020-03-18;AUT;13724;1646;9;4
2020-03-19;AUT;;2013;9;6
2020-01-22;AZE;;0;0;0
2020-01-23;AZE;;0;0;0
2020-01-24;AZE;;0;0;0
2020-01-25;AZE;;0;0;0
2020-01-26;AZE;;0;0;0
2020-01-27;AZE;;0;0;0
2020-01-28;AZE;;0;0;0
2020-01-29;AZE;;0;0;0
2020-01-30;AZE;;0;0;0
2020-01-31;AZE;;0;0;0
2020-02-01;AZE;;0;0;0
2020-02-02;AZE;;0;0;0
2020-02-03;AZE;;0;0;0
2020-02-04;AZE;;0;0;0
2020-02-05;AZE;;0;0;0
2020-02-06;AZE;;0;0;0
2020-02-07;AZE;;0;0;0
2020-02-08;AZE;;0;0;0
2020-02-09;AZE;;0;0;0
2020-02-10;AZE;;0;0;0
2020-02-11;AZE;;0;0;0
2020-02-12;AZE;;0;0;0
2020-02-13;AZE;;0;0;0
2020-02-14;AZE;;0;0;0
2020-02-15;AZE;;0;0;0
2020-02-16;AZE;;0;0;0
2020-02-17;AZE;;0;0;0
2020-02-18;AZE;;0;0;0
2020-02-19;AZE;;0;0;0
2020-02-20;AZE;;0;0;0
2020-02-21;AZE;;0;0;0
2020-02-22;AZE;;0;0;0
2020-02-23;AZE;;0;0;0
2020-02-24;AZE;;0;0;0
2020-02-25;AZE;;0;0;0
2020-02-26;AZE;;0;0;0
2020-02-27;AZE;;0;0;0
2020-02-28;AZE;;0;0;0
2020-02-29;AZE;;0;0;0
2020-03-01;AZE;;3;0;0
2020-03-02;AZE;;3;0;0
2020-03-03;AZE;;3;0;0
2020-03-04;AZE;;3;0;0
2020-03-05;AZE;;6;0;0
2020-03-06;AZE;;6;0;0
2020-03-07;AZE;;9;0;0
2020-03-08;AZE;;9;0;0
2020-03-09;AZE;;9;0;0
2020-03-10;AZE;;11;0;0
2020-03-11;AZE;;11;3;0
2020-03-12;AZE;;11;3;0
2020-03-13;AZE;;15;3;1
2020-03-14;AZE;;15;3;1
2020-03-15;AZE;;23;6;1
2020-03-16;AZE;;15;6;1
2020-03-17;AZE;;28;6;1
2020-03-18;AZE;;28;6;1
2020-03-19;AZE;;44;6;1
2020-01-22;BEL;;0;0;0
2020-01-23;BEL;;0;0;0
2020-01-24;BEL;;0;0;0
2020-01-25;BEL;;0;0;0
2020-01-26;BEL;;0;0;0
2020-01-27;BEL;;0;0;0
2020-01-28;BEL;;0;0;0
2020-01-29;BEL;;0;0;0
2020-01-30;BEL;;0;0;0
2020-01-31;BEL;;0;0;0
2020-02-01;BEL;;0;0;0
2020-02-02;BEL;;0;0;0
2020-02-03;BEL;;0;0;0
2020-02-04;BEL;;1;0;0
2020-02-05;BEL;;1;0;0
2020-02-06;BEL;;1;0;0
2020-02-07;BEL;;1;0;0
2020-02-08;BEL;;1;0;0
2020-02-09;BEL;;1;0;0
2020-02-10;BEL;;1;0;0
2020-02-11;BEL;;1;0;0
2020-02-12;BEL;;1;0;0
2020-02-13;BEL;;1;0;0
2020-02-14;BEL;;1;0;0
2020-02-15;BEL;;1;0;0
2020-02-16;BEL;;1;0;0
2020-02-17;BEL;;1;1;0
2020-02-18;BEL;;1;1;0
2020-02-19;BEL;;1;1;0
2020-02-20;BEL;;1;1;0
2020-02-21;BEL;;1;1;0
2020-02-22;BEL;;1;1;0
2020-02-23;BEL;;1;1;0
2020-02-24;BEL;;1;1;0
2020-02-25;BEL;;1;1;0
2020-02-26;BEL;;1;1;0
2020-02-27;BEL;;1;1;0
2020-02-28;BEL;;1;1;0
2020-02-29;BEL;;1;1;0
2020-03-01;BEL;103;2;1;0
2020-03-02;BEL;243;8;1;0
2020-03-03;BEL;738;13;1;0
2020-03-04;BEL;738;23;1;0
2020-03-05;BEL;1179;50;1;0
2020-03-06;BEL;1950;109;1;0
2020-03-07;BEL;2372;169;1;0
2020-03-08;BEL;2706;200;1;0
2020-03-09;BEL;3149;239;1;0
2020-03-10;BEL;3788;267;1;0
2020-03-11;BEL;;314;1;3
2020-03-12;BEL;;314;1;3
2020-03-13;BEL;;559;1;3
2020-03-14;BEL;;689;1;4
2020-03-15;BEL;;886;1;4
2020-03-16;BEL;;1058;1;5
2020-03-17;BEL;;1243;1;10
2020-03-18;BEL;;1486;31;14
2020-03-19;BEL;;1795;31;21
2020-01-22;BEN;;0;0;0
2020-01-23;BEN;;0;0;0
2020-01-24;BEN;;0;0;0
2020-01-25;BEN;;0;0;0
2020-01-26;BEN;;0;0;0
2020-01-27;BEN;;0;0;0
2020-01-28;BEN;;0;0;0
2020-01-29;BEN;;0;0;0
2020-01-30;BEN;;0;0;0
2020-01-31;BEN;;0;0;0
2020-02-01;BEN;;0;0;0
2020-02-02;BEN;;0;0;0
2020-02-03;BEN;;0;0;0
2020-02-04;BEN;;0;0;0
2020-02-05;BEN;;0;0;0
2020-02-06;BEN;;0;0;0
2020-02-07;BEN;;0;0;0
2020-02-08;BEN;;0;0;0
2020-02-09;BEN;;0;0;0
2020-02-10;BEN;;0;0;0
2020-02-11;BEN;;0;0;0
2020-02-12;BEN;;0;0;0
2020-02-13;BEN;;0;0;0
2020-02-14;BEN;;0;0;0
2020-02-15;BEN;;0;0;0
2020-02-16;BEN;;0;0;0
2020-02-17;BEN;;0;0;0
2020-02-18;BEN;;0;0;0
2020-02-19;BEN;;0;0;0
2020-02-20;BEN;;0;0;0
2020-02-21;BEN;;0;0;0
2020-02-22;BEN;;0;0;0
2020-02-23;BEN;;0;0;0
2020-02-24;BEN;;0;0;0
2020-02-25;BEN;;0;0;0
2020-02-26;BEN;;0;0;0
2020-02-27;BEN;;0;0;0
2020-02-28;BEN;;0;0;0
2020-02-29;BEN;;0;0;0
2020-03-01;BEN;;0;0;0
2020-03-02;BEN;;0;0;0
2020-03-03;BEN;;0;0;0
2020-03-04;BEN;;0;0;0
2020-03-05;BEN;;0;0;0
2020-03-06;BEN;;0;0;0
2020-03-07;BEN;;0;0;0
2020-03-08;BEN;;0;0;0
2020-03-09;BEN;;0;0;0
2020-03-10;BEN;;0;0;0
2020-03-11;BEN;;0;0;0
2020-03-12;BEN;;0;0;0
2020-03-13;BEN;;0;0;0
2020-03-14;BEN;;0;0;0
2020-03-15;BEN;;0;0;0
2020-03-16;BEN;;1;0;0
2020-03-17;BEN;;1;0;0
2020-03-18;BEN;;2;0;0
2020-03-19;BEN;;2;0;0
2020-01-22;BFA;;0;0;0
2020-01-23;BFA;;0;0;0
2020-01-24;BFA;;0;0;0
2020-01-25;BFA;;0;0;0
2020-01-26;BFA;;0;0;0
2020-01-27;BFA;;0;0;0
2020-01-28;BFA;;0;0;0
2020-01-29;BFA;;0;0;0
2020-01-30;BFA;;0;0;0
2020-01-31;BFA;;0;0;0
2020-02-01;BFA;;0;0;0
2020-02-02;BFA;;0;0;0
2020-02-03;BFA;;0;0;0
2020-02-04;BFA;;0;0;0
2020-02-05;BFA;;0;0;0
2020-02-06;BFA;;0;0;0
2020-02-07;BFA;;0;0;0
2020-02-08;BFA;;0;0;0
2020-02-09;BFA;;0;0;0
2020-02-10;BFA;;0;0;0
2020-02-11;BFA;;0;0;0
2020-02-12;BFA;;0;0;0
2020-02-13;BFA;;0;0;0
2020-02-14;BFA;;0;0;0
2020-02-15;BFA;;0;0;0
2020-02-16;BFA;;0;0;0
2020-02-17;BFA;;0;0;0
2020-02-18;BFA;;0;0;0
2020-02-19;BFA;;0;0;0
2020-02-20;BFA;;0;0;0
2020-02-21;BFA;;0;0;0
2020-02-22;BFA;;0;0;0
2020-02-23;BFA;;0;0;0
2020-02-24;BFA;;0;0;0
2020-02-25;BFA;;0;0;0
2020-02-26;BFA;;0;0;0
2020-02-27;BFA;;0;0;0
2020-02-28;BFA;;0;0;0
2020-02-29;BFA;;0;0;0
2020-03-01;BFA;;0;0;0
2020-03-02;BFA;;0;0;0
2020-03-03;BFA;;0;0;0
2020-03-04;BFA;;0;0;0
2020-03-05;BFA;;0;0;0
2020-03-06;BFA;;0;0;0
2020-03-07;BFA;;0;0;0
2020-03-08;BFA;;0;0;0
2020-03-09;BFA;;0;0;0
2020-03-10;BFA;;1;0;0
2020-03-11;BFA;;2;0;0
2020-03-12;BFA;;2;0;0
2020-03-13;BFA;;2;0;0
2020-03-14;BFA;;2;0;0
2020-03-15;BFA;;3;0;0
2020-03-16;BFA;;15;0;0
2020-03-17;BFA;;15;0;0
2020-03-18;BFA;;20;0;1
2020-03-19;BFA;;33;0;1
2020-01-22;BGD;;0;0;0
2020-01-23;BGD;;0;0;0
2020-01-24;BGD;;0;0;0
2020-01-25;BGD;;0;0;0
2020-01-26;BGD;;0;0;0
2020-01-27;BGD;;0;0;0
2020-01-28;BGD;;0;0;0
2020-01-29;BGD;;0;0;0
2020-01-30;BGD;;0;0;0
2020-01-31;BGD;;0;0;0
2020-02-01;BGD;;0;0;0
2020-02-02;BGD;;0;0;0
2020-02-03;BGD;;0;0;0
2020-02-04;BGD;;0;0;0
2020-02-05;BGD;;0;0;0
2020-02-06;BGD;;0;0;0
2020-02-07;BGD;;0;0;0
2020-02-08;BGD;;0;0;0
2020-02-09;BGD;;0;0;0
